ID;iata;icao;airportDescription;location;country
35e81f2a-15b1-4fcd-863c-f993dfabcdf4;AXA;TQPF;Anguilla Wallblake;Anguilla;Anguilla
7106c89b-62e3-45f4-84ac-557278483494;AXD;LGAL;Alexandroupolis Intl Airport (Dimokritos);Alexandroupolis;Greece
9fd4afd9-17bc-409b-8870-30fcb265d0a4;AXK;OYAT;Ataq;Ataq;Yemen
6a48e4ed-8494-4d45-b50f-691bf7731327;AXM;SKAR;El Eden;Armenia;Colombia
304204cf-74a1-4dc8-97ba-ee8db58059f5;AXP;MYAP;Spring Point Airport;Spring Point (Acklins);Bahamas
3a5ada54-7367-4d56-8ae7-edc703610a30;AXT;RJSK;Akita Airport;Akita;Japan
8c183097-22c2-4e4e-bf1d-424ac295be4e;AXU;HAAX;Axum;Axum;Ethiopia
49a841c6-2653-414c-ab87-094a0ca0fb27;AYN;ZHAY;Anyang Airport;Anyang;China - Peoples Republic
925311b6-0d32-49c6-9217-d469360bea43;AYP;SPHO;Col Alfredo Mendivil Duarte;Ayacucho;Peru
ac177dfd-c2bb-4a99-8ea5-cbcf3db972ff;AYQ;YAYE;Ayers Rock Airport;Yulara;Australia
6c58e0b9-cb48-4d2e-9aa5-3025c4aca18d;AYT;LTAI;Antalya Airport;Antalya;Turkey
37635712-6d46-4cb1-aebc-7e36876eb118;AZD;OIYY;Shahid Sadooghi Airport;Yazd;Iran
3f59d22f-fa20-406b-b44b-f0239e28fb72;AZI;OMAD;Bateen;Abu Dhabi;United Arab Emirates
ac74aa65-68e6-4309-8461-fcd5e1c772df;AZO;KAZO;Kalamazoo/Battle Creek Intl Airport;Kalamazoo, Michigan;USA
0f841e23-5566-4d2d-803f-9314a9044c04;AZR;DAUA;Adrar - Touat-Ch Sidi Mohamed Belkebir Airport;Adrar;Algeria
66a842ef-124b-4c68-9b40-4786715d935d;AZZ;FNAM;Ambriz;Ambriz;Angola
4e975d9c-4200-4bc5-9d1a-07c57c6dcb52;BAG;RPUB;Loakan Airport;Baguio;Philippines
c3c8657e-2044-4644-a493-4eeb988e7b89;BAH;OBBI;Bahrain Intl Airport;Bahrain;Bahrain
e5f46f00-e26d-4688-9995-63cef75ef3b5;BAI;MRBA;Buenos Aires Airport;Buenos Aires;Costa Rica
a3cf7721-cecf-4dca-88d3-16129afedafd;BAK;UBBB;Bina;Baku;Azerbaijan
46066911-8b2f-4078-bd19-b1af102cca45;BAL;LTCJ;Batman Airport;Batman;Turkey
aca0ee88-50bb-4110-9ab1-9fffdc46eba3;BAN;FZVR;Basongo;Basongo;Congo, Democratic Republic of the
fbf517f5-74aa-43e1-b0da-d746d447007d;BAQ;SKBQ;Ernesto Cortissoz;Barranquilla;Colombia
e3d0df0d-c276-4945-9705-0a0c005fa26d;BAV;ZBOW;Baotou Airport;Baotou;China - Peoples Republic
197744c2-f4a2-46b1-b400-9e7bd0ec1f03;BAX;UNBB;Barnaul Airport;Barnaul;Russia
399528b2-3145-4484-9215-c71991620cf2;BAY;LRBM;Baia Mare Airport;Baia Mare;Romania
ba23ac1e-e931-4010-ae3f-87edd715d7af;BBA;SCBA;Balmaceda;Balmaceda;Chile
5e16da2b-98c1-4df2-acd6-132e85fef198;BBG;NGTU;Butaritari;Butaritari;Kiribati
e55a3c2a-2247-482f-b79c-cf88a41426e6;BBH;EDBH;Ostseeflughafen Stralsund-Barth;Barth;Germany
1f29c4dc-9a42-4b46-9e34-2107da53c2e6;BBI;VEBS;Biju Patnaik Airport;Bhubaneswar (Orissa);India
ac5f87a4-0b34-4136-97e6-37ffe157732a;BBK;FBKE;Kasane;Kasane;Botsuana
48c0d883-bd21-49d5-a1ef-a7f2dfea7bc5;BBM;VDBG;Battambang;Battambang Combodia;Cambodia
